date,team1,team2,venue,result,top_scorer,score
28-03-2026,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 6 Wickets,Ishan Kishan*†,80
29-03-2026,Mumbai Indians,Kolkata Knight Riders,Mumbai,Mumbai Indians won by 6 Wickets,Ryan Rickelton†,81
30-03-2026,Chennai Super Kings,Rajasthan Royals,Guwahati,Rajasthan Royals won by 8 Wickets,Vaibhav Sooryavanshi,52
31-03-2026,Gujarat Titans,Punjab Kings,New Chandigarh,Punjab Kings won by 3 Wickets,Cooper Connolly,72
01-04-2026,Lucknow Super Giants,Delhi Capitals,Lucknow,Delhi Capitals won by 6 Wickets,Sameer Rizvi,70
02-04-2026,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad won by 65 Runs,Heinrich Klaasen,52
03-04-2026,Chennai Super Kings,Punjab Kings,Chennai,Punjab Kings won by 5 Wickets,Ayush Mhatre,73
04-04-2026,Delhi Capitals,Mumbai Indians,Delhi,Delhi Capitals won by 6 Wickets,Sameer Rizvi,90
04-04-2026,Gujarat Titans,Rajasthan Royals,Ahmedabad,Rajasthan Royals won by 6 Runs,Dhruv Jurel†,75
05-04-2026,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,Lucknow Super Giants won by 5 Wickets,Rishabh Pant*†,68
